model_key,rank,relation_key,n_test,delta_mean_test,delta_mean_test_core,delta_mean_test_periphery,gap_core_minus_periphery,pos_share_core,core_frac_test,core_q
gemma_7b_it,1,company_hq,169,0.645153866717096,0.720565648873647,0.6036427939703705,0.1169228549032765,0.3965288546780826,0.3550295857988165,0.3
gemma_7b_it,2,product_by_company,131,0.6393634699683153,0.7134722643428378,0.6005856124467628,0.112886651896075,0.3833279563870842,0.3435114503816794,0.3
gemma_7b_it,3,person_mother,249,0.4662140296046513,0.5458201610878722,0.4331955773417245,0.1126245837461477,0.3432319817457025,0.2931726907630522,0.3
gemma_7b_it,4,person_father,248,0.4925845661951649,0.5718200786473,0.4595320381437029,0.112288040503597,0.3417037775286131,0.2943548387096774,0.3
gemma_7b_it,5,person_plays_position_in_sport,238,0.7599608900667238,0.8389195979587616,0.7315357552255903,0.1073838427331712,0.2922083955943461,0.2647058823529412,0.3
gemma_7b_it,6,star_constellation,91,0.6581429557485895,0.7090472245917601,0.6277790059123123,0.0812682186794477,0.4025246201301942,0.3736263736263736,0.3
gemma_7b_it,7,company_ceo,75,0.4402566675345103,0.4901454997062683,0.4153122514486312,0.074833248257637,0.3711058691067201,0.3333333333333333,0.3
gemma_7b_it,8,word_last_letter,61,0.7038381705518628,0.7586129744847615,0.685976821443309,0.0726361530414525,0.2650384447143084,0.2459016393442623,0.3
gemma_7b_it,9,word_first_letter,61,0.7192797773197049,0.7668656349182129,0.7037626498419306,0.0631029850762823,0.2621699131954743,0.2459016393442623,0.3
gemma_7b_it,10,person_native_language,230,0.7857848963011866,0.8304539814827934,0.7689336845260895,0.0615202969567039,0.2894840287810807,0.2739130434782608,0.3
llama3_1_8b_instruct,1,product_by_company,131,0.6758497992089687,0.7424665917741492,0.6385761176546415,0.1038904741195076,0.3941425209053921,0.3587786259541984,0.3
llama3_1_8b_instruct,2,person_plays_position_in_sport,238,0.7718901954779104,0.8347831813257132,0.7472479144732157,0.0875352668524974,0.3044500233284657,0.2815126050420168,0.3
llama3_1_8b_instruct,3,person_father,248,0.5182269422277328,0.5788016376430041,0.4929586407116481,0.0858429969313559,0.3287614919458083,0.2943548387096774,0.3
llama3_1_8b_instruct,4,company_hq,169,0.7038268027220957,0.7552046529830448,0.6732909105858713,0.0819137423971735,0.3999932850101543,0.3727810650887574,0.3
llama3_1_8b_instruct,5,person_mother,249,0.4936686408328244,0.551613493822515,0.4736228538526071,0.0779906399699079,0.2871970455321109,0.2570281124497992,0.3
llama3_1_8b_instruct,6,star_constellation,91,0.6618081396752662,0.7154757738113403,0.6414794903812986,0.0739962834300417,0.2970034164524571,0.2747252747252747,0.3
llama3_1_8b_instruct,7,person_occupation,206,0.7737686486498824,0.8291315460205078,0.7560241302618613,0.0731074157586464,0.2600848732110162,0.2427184466019417,0.3
llama3_1_8b_instruct,8,word_first_letter,61,0.7650341650501626,0.8064390397988833,0.7342762580939701,0.0721627817049131,0.4492977320843916,0.4262295081967213,0.3
llama3_1_8b_instruct,9,landmark_in_country,209,0.7424097494645552,0.7909168640121085,0.722416952252388,0.0684999117597204,0.310935792941828,0.291866028708134,0.3
llama3_1_8b_instruct,10,landmark_on_continent,237,0.7774968290630775,0.8180585510673977,0.7552276483548233,0.0628309027125744,0.3729208815672749,0.3544303797468354,0.3
mistral_7b_instruct,1,product_by_company,131,0.6057104635557146,0.7237156796455383,0.5328677375743418,0.1908479420711964,0.4560386112892818,0.3816793893129771,0.3
mistral_7b_instruct,2,company_hq,169,0.6031974929676959,0.7066062918076148,0.5572380268166208,0.1493682649909939,0.3604413531072698,0.3076923076923077,0.3
mistral_7b_instruct,3,landmark_in_country,209,0.6936495067400225,0.7808333311164588,0.6609555725988588,0.1198777585175999,0.3070059774867799,0.2727272727272727,0.3
mistral_7b_instruct,4,person_father,248,0.4101126528675518,0.4855221652648818,0.3798636394200352,0.1056585258448466,0.3389319893981112,0.2862903225806452,0.3
mistral_7b_instruct,5,person_occupation,206,0.7168744381481004,0.7908961302959002,0.6918801005397525,0.0990160297561477,0.2784918428552189,0.2524271844660194,0.3
mistral_7b_instruct,6,word_last_letter,61,0.6315245618585681,0.6968764066696167,0.6019606320630937,0.094915774606523,0.3437077153954224,0.3114754098360656,0.3
mistral_7b_instruct,7,landmark_on_continent,237,0.6955813226066058,0.7576381375915126,0.6662874223652834,0.0913507152262291,0.3492843781103069,0.3206751054852321,0.3
mistral_7b_instruct,8,person_mother,249,0.3719994589147797,0.4421442511181037,0.3552484637617472,0.0868957873563565,0.2291202975676581,0.1927710843373494,0.3
mistral_7b_instruct,9,company_ceo,75,0.467348282734553,0.5330333262681961,0.4495353895728871,0.083497936695309,0.243316987504876,0.2133333333333333,0.3
mistral_7b_instruct,10,person_plays_instrument,129,0.7266291795774947,0.7779822877862237,0.7000463941517998,0.0779358936344238,0.3651908114457016,0.3410852713178294,0.3
qwen2_5_7b_instruct,1,word_first_letter,61,0.5645256804638221,0.6504557069979215,0.5256525732222057,0.1248031337757158,0.3588870531999991,0.3114754098360656,0.3
qwen2_5_7b_instruct,2,product_by_company,131,0.5147430717035104,0.57039321010763,0.474469945226845,0.095923264880785,0.4652380546275753,0.4198473282442748,0.3
qwen2_5_7b_instruct,3,star_constellation,91,0.5013437074619335,0.5726512461900711,0.4812570768342891,0.0913941693557819,0.2510401843522226,0.2197802197802197,0.3
qwen2_5_7b_instruct,4,person_plays_position_in_sport,238,0.6116463662195606,0.6715174089243383,0.580757484314548,0.0907599246097903,0.3736499582009938,0.3403361344537815,0.3
qwen2_5_7b_instruct,5,word_last_letter,61,0.5815566138165896,0.6425303995609284,0.5518133036974,0.0907170958635283,0.3622445343567432,0.3278688524590163,0.3
qwen2_5_7b_instruct,6,company_hq,169,0.504397587134288,0.5660439844314868,0.4769991883355328,0.089044796095954,0.3452978052781675,0.3076923076923077,0.3
qwen2_5_7b_instruct,7,person_occupation,206,0.5990813655181996,0.6558231457191355,0.5711216477380283,0.0847014979811071,0.3613621165634602,0.3300970873786408,0.3
qwen2_5_7b_instruct,8,person_mother,249,0.4034953602107174,0.4620196324128371,0.3828210249219251,0.0791986074909119,0.2989068684770381,0.2610441767068273,0.3
qwen2_5_7b_instruct,9,person_father,248,0.4229135979567804,0.4763025108136628,0.3993231480897859,0.0769793627238769,0.3451382820838498,0.3064516129032258,0.3
qwen2_5_7b_instruct,10,landmark_in_country,209,0.5782972803811708,0.6258120274139662,0.5596081465482712,0.066203880865695,0.3054910429483154,0.2822966507177033,0.3
