model_key,relation_key,hits@1_strict,hits@10_strict,mrr_strict,coverage_strict,n_test_total,n_test_covered_strict,hits@1_all,hits@10_all,mrr_all,coverage_all,n_test_covered_all
gemma_7b_it,adj_antonym,0.0,0.0,0.0169540229885057,0.08,25,2,0.08,0.36,0.1674820926353842,1.0,25
gemma_7b_it,adj_comparative,0.0,0.3333333333333333,0.0927072583419332,0.1764705882352941,17,3,0.2352941176470588,0.4117647058823529,0.3271778590599222,1.0,17
gemma_7b_it,adj_superlative,0.0,1.0,0.125,0.05,20,1,0.25,0.5,0.309762158276121,1.0,20
gemma_7b_it,company_ceo,0.3333333333333333,0.3333333333333333,0.3521662990053795,0.08,75,6,0.08,0.2,0.1368346730722117,1.0,75
gemma_7b_it,company_hq,0.184931506849315,0.410958904109589,0.2779283634639169,0.863905325443787,169,146,0.1597633136094674,0.3609467455621302,0.242885903095316,1.0,169
gemma_7b_it,landmark_in_country,0.116751269035533,0.4974619289340101,0.2201447750113514,0.9425837320574164,209,197,0.1100478468899521,0.4593301435406698,0.2112201299775289,1.0,209
gemma_7b_it,landmark_on_continent,0.7426160337552743,1.0,0.8371308016877638,1.0,237,237,0.7426160337552743,1.0,0.8343178621659634,1.0,237
gemma_7b_it,object_superclass,0.7777777777777778,1.0,0.837037037037037,0.9473684210526316,19,18,0.8421052631578947,1.0,0.8659147869674185,1.0,19
gemma_7b_it,occupation_age,0.3333333333333333,1.0,0.6666666666666666,1.0,12,12,0.3333333333333333,1.0,0.6666666666666666,1.0,12
gemma_7b_it,person_father,0.0,0.1666666666666666,0.0896467439839828,0.0241935483870967,248,6,0.0806451612903225,0.1169354838709677,0.096759551208597,1.0,248
gemma_7b_it,person_mother,0.0625,0.25,0.1090184024622498,0.0642570281124498,249,16,0.0200803212851405,0.0843373493975903,0.0464491209054748,1.0,249
gemma_7b_it,person_native_language,0.6622222222222223,0.9733333333333334,0.7438444148444145,0.9782608695652174,230,225,0.6478260869565218,0.9652173913043478,0.7294841347910399,1.0,230
gemma_7b_it,person_occupation,0.3382352941176471,0.8627450980392157,0.506868827801209,0.9902912621359224,206,204,0.3349514563106796,0.8203883495145631,0.5010385038147815,1.0,206
gemma_7b_it,person_plays_instrument,0.4108527131782946,1.0,0.6524547803617571,1.0,129,129,0.4108527131782946,1.0,0.6524547803617571,1.0,129
gemma_7b_it,person_plays_position_in_sport,0.4219409282700422,0.8312236286919831,0.5778746335708356,0.9957983193277312,238,237,0.4201680672268907,0.8277310924369747,0.5744364412431641,1.0,238
gemma_7b_it,person_plays_pro_sport,0.575,1.0,0.7054166666666669,1.0,80,80,0.5625,1.0,0.6991666666666669,1.0,80
gemma_7b_it,person_university,0.2,0.6,0.2901111111111111,0.217391304347826,23,5,0.0434782608695652,0.217391304347826,0.1052396040356715,1.0,23
gemma_7b_it,pokemon_evolutions,,,,0.0,11,0,0.1818181818181818,0.8181818181818182,0.4042790542790542,1.0,11
gemma_7b_it,product_by_company,0.2868217054263566,0.7441860465116279,0.4723295357976855,0.9847328244274808,131,129,0.2824427480916031,0.7404580152671756,0.4655394759943744,1.0,131
gemma_7b_it,star_constellation,0.2413793103448276,0.5862068965517241,0.3499352339869581,0.956043956043956,91,87,0.2307692307692307,0.5604395604395604,0.3381870799009159,1.0,91
gemma_7b_it,substance_phase,0.5384615384615384,1.0,0.7564102564102565,1.0,13,13,0.5384615384615384,1.0,0.7564102564102565,1.0,13
gemma_7b_it,superhero_archnemesis,0.3333333333333333,1.0,0.4833333333333333,0.125,24,3,0.0416666666666666,0.5416666666666666,0.1735803530580699,1.0,24
gemma_7b_it,superhero_person,,,,0.0,25,0,0.08,0.28,0.1405022900520255,1.0,25
gemma_7b_it,task_done_by_tool,,,,0.0,13,0,0.1538461538461538,0.2307692307692307,0.1892013735584503,1.0,13
gemma_7b_it,verb_past_tense,,,,0.0,19,0,0.5263157894736842,0.5789473684210527,0.549203959244632,1.0,19
gemma_7b_it,word_first_letter,0.2622950819672131,0.6885245901639344,0.4248647675679036,1.0,61,61,0.2950819672131147,0.7704918032786885,0.4569233589725392,1.0,61
gemma_7b_it,word_last_letter,0.2131147540983606,0.819672131147541,0.3667283081217506,1.0,61,61,0.2131147540983606,0.8360655737704918,0.3882121066547295,1.0,61
gemma_7b_it,word_sentiment,0.4,1.0,0.6333333333333334,1.0,15,15,0.4,1.0,0.6333333333333334,1.0,15
llama3_1_8b_instruct,adj_antonym,0.0,0.0,0.0171428571428571,0.08,25,2,0.08,0.16,0.1158653963806444,1.0,25
llama3_1_8b_instruct,adj_comparative,0.3333333333333333,0.3333333333333333,0.3582427536231884,0.1764705882352941,17,3,0.2941176470588235,0.2941176470588235,0.3206972164241867,1.0,17
llama3_1_8b_instruct,adj_superlative,0.0,0.0,0.03125,0.05,20,1,0.15,0.25,0.1871666516169022,1.0,20
llama3_1_8b_instruct,company_ceo,0.0,0.3333333333333333,0.0652230454092397,0.08,75,6,0.0133333333333333,0.2,0.0654091449091062,1.0,75
llama3_1_8b_instruct,company_hq,0.0753424657534246,0.410958904109589,0.2142521175052457,0.863905325443787,169,146,0.0650887573964497,0.3491124260355029,0.1888136155632699,1.0,169
llama3_1_8b_instruct,landmark_in_country,0.0507614213197969,0.5126903553299492,0.1881420256217593,0.9425837320574164,209,197,0.0478468899521531,0.4832535885167464,0.1804754144310761,1.0,209
llama3_1_8b_instruct,landmark_on_continent,0.7426160337552743,1.0,0.8308016877637131,1.0,237,237,0.7426160337552743,1.0,0.830450070323488,1.0,237
llama3_1_8b_instruct,object_superclass,0.4444444444444444,1.0,0.6268518518518519,0.9473684210526316,19,18,0.5263157894736842,1.0,0.6585213032581453,1.0,19
llama3_1_8b_instruct,occupation_age,0.3333333333333333,1.0,0.6666666666666666,1.0,12,12,0.3333333333333333,1.0,0.6666666666666666,1.0,12
llama3_1_8b_instruct,person_father,0.0,0.3333333333333333,0.0842180164967775,0.0241935483870967,248,6,0.0161290322580645,0.064516129032258,0.0344338042688079,1.0,248
llama3_1_8b_instruct,person_mother,0.0,0.0625,0.0291953796501293,0.0642570281124498,249,16,0.0,0.0240963855421686,0.0120505097381415,1.0,249
llama3_1_8b_instruct,person_native_language,0.6622222222222223,0.8755555555555555,0.7561003071003072,0.9782608695652174,230,225,0.6478260869565218,0.8565217391304348,0.7415874501801278,1.0,230
llama3_1_8b_instruct,person_occupation,0.3382352941176471,0.8578431372549019,0.4813593565834737,0.9902912621359224,206,204,0.3349514563106796,0.8495145631067961,0.482872995274629,1.0,206
llama3_1_8b_instruct,person_plays_instrument,0.4108527131782946,1.0,0.6524547803617571,1.0,129,129,0.4108527131782946,1.0,0.6524547803617571,1.0,129
llama3_1_8b_instruct,person_plays_position_in_sport,0.4219409282700422,0.9915611814345991,0.5881838742598238,0.9957983193277312,238,237,0.4201680672268907,0.9915966386554622,0.5858590872246335,1.0,238
llama3_1_8b_instruct,person_plays_pro_sport,0.275,1.0,0.4787500000000001,1.0,80,80,0.275,1.0,0.4787500000000001,1.0,80
llama3_1_8b_instruct,person_university,0.0,0.2,0.0926770918426887,0.217391304347826,23,5,0.0,0.1739130434782608,0.0555732101460635,1.0,23
llama3_1_8b_instruct,pokemon_evolutions,,,,0.0,11,0,0.0,0.2727272727272727,0.1020896128811668,1.0,11
llama3_1_8b_instruct,product_by_company,0.2713178294573643,0.7674418604651163,0.4554004895100368,0.9847328244274808,131,129,0.2671755725190839,0.7633587786259542,0.4499892512068533,1.0,131
llama3_1_8b_instruct,star_constellation,0.1264367816091954,0.7931034482758621,0.2728248650155341,0.956043956043956,91,87,0.1208791208791208,0.7692307692307693,0.2616587212256246,1.0,91
llama3_1_8b_instruct,substance_phase,0.5384615384615384,1.0,0.7564102564102565,1.0,13,13,0.5384615384615384,1.0,0.7564102564102565,1.0,13
llama3_1_8b_instruct,superhero_archnemesis,0.0,0.6666666666666666,0.2651515151515151,0.125,24,3,0.0416666666666666,0.25,0.0950692998330408,1.0,24
llama3_1_8b_instruct,superhero_person,,,,0.0,25,0,0.0,0.08,0.0460148566090765,1.0,25
llama3_1_8b_instruct,task_done_by_tool,,,,0.0,13,0,0.0,0.2307692307692307,0.0757473456435091,1.0,13
llama3_1_8b_instruct,verb_past_tense,,,,0.0,19,0,0.3684210526315789,0.3684210526315789,0.3870384868332904,1.0,19
llama3_1_8b_instruct,word_first_letter,0.4918032786885246,0.8524590163934426,0.6152275899485662,1.0,61,61,0.4918032786885246,0.8524590163934426,0.6160058496630338,1.0,61
llama3_1_8b_instruct,word_last_letter,0.2786885245901639,0.8688524590163934,0.4573533934189671,1.0,61,61,0.2950819672131147,0.8688524590163934,0.4663632199794204,1.0,61
llama3_1_8b_instruct,word_sentiment,0.2,1.0,0.5333333333333332,1.0,15,15,0.2666666666666666,1.0,0.5666666666666667,1.0,15
mistral_7b_instruct,adj_antonym,0.0,0.0,0.0170952659263588,0.08,25,2,0.0,0.12,0.0496477691981981,1.0,25
mistral_7b_instruct,adj_comparative,0.0,0.0,0.0384615384615384,0.1764705882352941,17,3,0.2941176470588235,0.4705882352941176,0.3596167522918199,1.0,17
mistral_7b_instruct,adj_superlative,0.0,0.0,0.03125,0.05,20,1,0.05,0.1,0.0937503024674369,1.0,20
mistral_7b_instruct,company_ceo,0.0,0.0,0.0205372898406741,0.08,75,6,0.0,0.0666666666666666,0.0318707533808484,1.0,75
mistral_7b_instruct,company_hq,0.184931506849315,0.4452054794520548,0.2912300368459763,0.863905325443787,169,146,0.1597633136094674,0.3905325443786982,0.2556943498636157,1.0,169
mistral_7b_instruct,landmark_in_country,0.0761421319796954,0.5025380710659898,0.1996672114755377,0.9425837320574164,209,197,0.0765550239234449,0.4736842105263157,0.1889562329337633,1.0,209
mistral_7b_instruct,landmark_on_continent,0.7426160337552743,1.0,0.8385372714486641,1.0,237,237,0.7426160337552743,1.0,0.837834036568214,1.0,237
mistral_7b_instruct,object_superclass,0.3333333333333333,1.0,0.5666666666666667,0.9473684210526316,19,18,0.4210526315789473,1.0,0.5944862155388472,1.0,19
mistral_7b_instruct,occupation_age,0.3333333333333333,1.0,0.6666666666666666,1.0,12,12,0.3333333333333333,1.0,0.6666666666666666,1.0,12
mistral_7b_instruct,person_father,0.0,0.0,0.0177853320521626,0.0241935483870967,248,6,0.0040322580645161,0.0443548387096774,0.0180423170148243,1.0,248
mistral_7b_instruct,person_mother,0.0,0.0625,0.0285454773219593,0.0642570281124498,249,16,0.0040160642570281,0.036144578313253,0.0189657833660727,1.0,249
mistral_7b_instruct,person_native_language,0.6622222222222223,0.9866666666666668,0.781302701197438,0.9782608695652174,230,225,0.6478260869565218,0.9652173913043478,0.7609365410804031,1.0,230
mistral_7b_instruct,person_occupation,0.3382352941176471,0.8872549019607843,0.5127657676304309,0.9902912621359224,206,204,0.3349514563106796,0.883495145631068,0.5074484108486716,1.0,206
mistral_7b_instruct,person_plays_instrument,0.4108527131782946,1.0,0.6421188630490957,1.0,129,129,0.4108527131782946,1.0,0.6421188630490957,1.0,129
mistral_7b_instruct,person_plays_position_in_sport,0.4219409282700422,0.9915611814345991,0.5930830772602927,0.9957983193277312,238,237,0.4201680672268907,0.9873949579831932,0.5912413916615601,1.0,238
mistral_7b_instruct,person_plays_pro_sport,0.225,1.0,0.4737499999999999,1.0,80,80,0.225,1.0,0.4737499999999999,1.0,80
mistral_7b_instruct,person_university,0.0,0.6,0.1981203007518796,0.217391304347826,23,5,0.0,0.217391304347826,0.0820064459013742,1.0,23
mistral_7b_instruct,pokemon_evolutions,,,,0.0,11,0,0.0,0.2727272727272727,0.0860884417750038,1.0,11
mistral_7b_instruct,product_by_company,0.2713178294573643,0.7364341085271318,0.4603045590265093,0.9847328244274808,131,129,0.2671755725190839,0.7251908396946565,0.4576966996368585,1.0,131
mistral_7b_instruct,star_constellation,0.1149425287356321,0.7126436781609196,0.2937683147368744,0.956043956043956,91,87,0.1098901098901098,0.7472527472527473,0.2769137299997143,1.0,91
mistral_7b_instruct,substance_phase,0.5384615384615384,1.0,0.7564102564102565,1.0,13,13,0.5384615384615384,1.0,0.7564102564102565,1.0,13
mistral_7b_instruct,superhero_archnemesis,0.0,0.3333333333333333,0.2007672634271099,0.125,24,3,0.0,0.0833333333333333,0.0548486173303581,1.0,24
mistral_7b_instruct,superhero_person,,,,0.0,25,0,0.04,0.08,0.0759095198867754,1.0,25
mistral_7b_instruct,task_done_by_tool,,,,0.0,13,0,0.0,0.0769230769230769,0.0472533207699299,1.0,13
mistral_7b_instruct,verb_past_tense,,,,0.0,19,0,0.3684210526315789,0.7368421052631579,0.486546980924841,1.0,19
mistral_7b_instruct,word_first_letter,0.0655737704918032,0.7704918032786885,0.2495823124920216,1.0,61,61,0.081967213114754,0.7704918032786885,0.2620497032165305,1.0,61
mistral_7b_instruct,word_last_letter,0.2131147540983606,0.7868852459016393,0.3966994432761068,1.0,61,61,0.2131147540983606,0.7868852459016393,0.3985598417975468,1.0,61
mistral_7b_instruct,word_sentiment,0.2,1.0,0.5333333333333332,1.0,15,15,0.2,1.0,0.5333333333333332,1.0,15
qwen2_5_7b_instruct,adj_antonym,0.0,0.0,0.0157209530827806,0.08,25,2,0.04,0.16,0.0971970026817313,1.0,25
qwen2_5_7b_instruct,adj_comparative,0.3333333333333333,0.3333333333333333,0.3567676767676768,0.1764705882352941,17,3,0.1764705882352941,0.2352941176470588,0.218479197225117,1.0,17
qwen2_5_7b_instruct,adj_superlative,0.0,0.0,0.0303030303030303,0.05,20,1,0.15,0.3,0.2153462037036789,1.0,20
qwen2_5_7b_instruct,company_ceo,0.1666666666666666,0.3333333333333333,0.2625426146024621,0.08,75,6,0.0133333333333333,0.08,0.0505192979049663,1.0,75
qwen2_5_7b_instruct,company_hq,0.184931506849315,0.3835616438356164,0.2606234143775868,0.863905325443787,169,146,0.1597633136094674,0.3313609467455621,0.2239843283064466,1.0,169
qwen2_5_7b_instruct,landmark_in_country,0.1116751269035533,0.4923857868020304,0.2222611820142266,0.9425837320574164,209,197,0.1052631578947368,0.4688995215311005,0.2065901187316626,1.0,209
qwen2_5_7b_instruct,landmark_on_continent,0.7426160337552743,1.0,0.838888888888889,1.0,237,237,0.7426160337552743,1.0,0.837482419127989,1.0,237
qwen2_5_7b_instruct,object_superclass,0.3888888888888889,1.0,0.5981481481481482,0.9473684210526316,19,18,0.3684210526315789,1.0,0.5733082706766917,1.0,19
qwen2_5_7b_instruct,occupation_age,0.3333333333333333,1.0,0.6666666666666666,1.0,12,12,0.3333333333333333,1.0,0.6666666666666666,1.0,12
qwen2_5_7b_instruct,person_father,0.0,0.1666666666666666,0.0992909310133604,0.0241935483870967,248,6,0.0040322580645161,0.032258064516129,0.0157423624238429,1.0,248
qwen2_5_7b_instruct,person_mother,0.0,0.0,0.011571246387959,0.0642570281124498,249,16,0.0,0.0281124497991967,0.0091584334884825,1.0,249
qwen2_5_7b_instruct,person_native_language,0.6622222222222223,0.8755555555555555,0.759857604250277,0.9782608695652174,230,225,0.6478260869565218,0.8565217391304348,0.7447402670981169,1.0,230
qwen2_5_7b_instruct,person_occupation,0.3382352941176471,0.8186274509803921,0.4651206074674375,0.9902912621359224,206,204,0.3349514563106796,0.7766990291262136,0.4612087501886194,1.0,206
qwen2_5_7b_instruct,person_plays_instrument,0.4108527131782946,1.0,0.642764857881137,1.0,129,129,0.4108527131782946,1.0,0.642764857881137,1.0,129
qwen2_5_7b_instruct,person_plays_position_in_sport,0.4219409282700422,0.9915611814345991,0.5883046864059517,0.9957983193277312,238,237,0.4201680672268907,0.9873949579831932,0.5858528259788758,1.0,238
qwen2_5_7b_instruct,person_plays_pro_sport,0.2,1.0,0.44125,1.0,80,80,0.2,1.0,0.4433333333333332,1.0,80
qwen2_5_7b_instruct,person_university,0.0,0.4,0.1629551820728291,0.217391304347826,23,5,0.0,0.1304347826086956,0.0662961650277441,1.0,23
qwen2_5_7b_instruct,pokemon_evolutions,,,,0.0,11,0,0.0909090909090909,0.4545454545454545,0.2273467301334119,1.0,11
qwen2_5_7b_instruct,product_by_company,0.2713178294573643,0.7596899224806202,0.4202849678997393,0.9847328244274808,131,129,0.2671755725190839,0.7480916030534351,0.4074092880180596,1.0,131
qwen2_5_7b_instruct,star_constellation,0.1379310344827586,0.7241379310344828,0.3059353050225259,0.956043956043956,91,87,0.2087912087912088,0.6923076923076923,0.3453674878807525,1.0,91
qwen2_5_7b_instruct,substance_phase,0.5384615384615384,1.0,0.7564102564102565,1.0,13,13,0.5384615384615384,1.0,0.7564102564102565,1.0,13
qwen2_5_7b_instruct,superhero_archnemesis,0.0,0.3333333333333333,0.1981556455240666,0.125,24,3,0.0,0.2083333333333333,0.075189128800194,1.0,24
qwen2_5_7b_instruct,superhero_person,,,,0.0,25,0,0.0,0.04,0.0407330404022961,1.0,25
qwen2_5_7b_instruct,task_done_by_tool,,,,0.0,13,0,0.0,0.1538461538461538,0.0554705250859097,1.0,13
qwen2_5_7b_instruct,verb_past_tense,,,,0.0,19,0,0.3684210526315789,0.4736842105263157,0.3991255580486468,1.0,19
qwen2_5_7b_instruct,word_first_letter,0.5901639344262295,0.8852459016393442,0.6843568520304297,1.0,61,61,0.6229508196721312,0.8852459016393442,0.7036518550474545,1.0,61
qwen2_5_7b_instruct,word_last_letter,0.2459016393442623,0.6721311475409836,0.3904601773454231,1.0,61,61,0.2131147540983606,0.6885245901639344,0.3730749508714792,1.0,61
qwen2_5_7b_instruct,word_sentiment,0.2,1.0,0.5333333333333332,1.0,15,15,0.2,1.0,0.5333333333333332,1.0,15
