category,model_key,relation_key,query_id,prompt,subject,gold_object,strict_gold_in_candidates,strict_rank,strict_num_candidates,strict_top10,all_rank,all_num_candidates,all_top10
success,gemma_7b_it,company_hq,1833,Where are the headquarters of Ipsos MORI?,Ipsos MORI,London,True,1,141,London; Stockholm; Chicago; Berlin; Athens,1,163,London; Stockholm; Chicago; Berlin; Tokyo
success,gemma_7b_it,company_hq,1838,Where are the headquarters of British Tanker Company?,British Tanker Company,London,True,1,141,London; Chicago; Berlin; Stockholm; Athens,1,163,London; Chicago; Berlin; Stockholm; Munich
success,gemma_7b_it,company_hq,1856,Where are the headquarters of Pagan Federation?,Pagan Federation,London,True,1,141,London; Berlin; Chicago; Stockholm; Athens,1,163,London; Chicago; Berlin; Stockholm; Tokyo
success,gemma_7b_it,company_hq,1883,Where are the headquarters of Ernst & Young?,Ernst & Young,London,True,1,141,London; Chicago; Stockholm; Munich; Berlin,1,163,London; Chicago; Stockholm; Munich; Berlin
success,gemma_7b_it,company_hq,1905,Where are the headquarters of Terra Firma Capital Partners?,Terra Firma Capital Partners,London,True,1,141,London; Chicago; Berlin; Stockholm; Tokyo,1,163,London; Chicago; Berlin; Stockholm; Tokyo
success,gemma_7b_it,company_hq,1923,Where are the headquarters of Hambros Bank?,Hambros Bank,London,True,1,141,London; Chicago; Berlin; Athens; Stockholm,1,163,London; Chicago; Berlin; Tokyo; Stockholm
success,gemma_7b_it,company_hq,2022,Where are the headquarters of Associated British Foods?,Associated British Foods,London,True,1,141,London; Chicago; Stockholm; Berlin; Athens,1,163,London; Chicago; Stockholm; Berlin; Tokyo
success,gemma_7b_it,company_hq,2026,Where are the headquarters of Phaidon Press?,Phaidon Press,London,True,1,141,London; Chicago; Berlin; Stockholm; Athens,1,163,London; Chicago; Berlin; Stockholm; Munich
success,gemma_7b_it,company_hq,2090,Where are the headquarters of Euromoney Institutional Investor?,Euromoney Institutional Investor,London,True,1,141,London; Stockholm; Berlin; Chicago; Munich,1,163,London; Stockholm; Chicago; Berlin; Munich
success,gemma_7b_it,company_hq,2121,Where are the headquarters of ITC Entertainment?,ITC Entertainment,London,True,1,141,London; Chicago; Stockholm; Tokyo; Berlin,1,163,London; Chicago; Stockholm; Tokyo; Berlin
success,gemma_7b_it,company_hq,2179,Where are the headquarters of Free Association Books?,Free Association Books,London,True,1,141,London; Chicago; Berlin; Stockholm; Tokyo,1,163,London; Chicago; Berlin; Tokyo; Stockholm
success,gemma_7b_it,company_hq,2187,Where are the headquarters of Orion Publishing Group?,Orion Publishing Group,London,True,1,141,London; Chicago; Berlin; Stockholm; Athens,1,163,London; Chicago; Berlin; Stockholm; Munich
success,gemma_7b_it,company_hq,2195,Where are the headquarters of Carlton Communications?,Carlton Communications,London,True,1,141,London; Chicago; Stockholm; Tokyo; Berlin,1,163,London; Chicago; Tokyo; Stockholm; Berlin
success,gemma_7b_it,company_hq,2228,Where are the headquarters of Scott Free Productions?,Scott Free Productions,London,True,1,141,London; Chicago; Stockholm; Berlin; Tokyo,1,163,London; Chicago; Stockholm; Berlin; Tokyo
success,gemma_7b_it,company_hq,2233,Where are the headquarters of DCD Media?,DCD Media,London,True,1,141,London; Chicago; Berlin; Tokyo; Stockholm,1,163,London; Chicago; Berlin; Tokyo; Stockholm
success,gemma_7b_it,company_hq,2292,Where are the headquarters of Pepe Jeans?,Pepe Jeans,London,True,1,141,London; Chicago; Tokyo; Berlin; Warsaw,1,163,London; Tokyo; Chicago; Berlin; Munich
success,gemma_7b_it,company_hq,2298,Where are the headquarters of AstraZeneca?,AstraZeneca,London,True,1,141,London; Stockholm; Chicago; Munich; Athens,1,163,London; Stockholm; Chicago; Munich; Barcelona
success,gemma_7b_it,company_hq,2325,Where are the headquarters of Millennium & Copthorne Hotels?,Millennium & Copthorne Hotels,London,True,1,141,London; Chicago; Tokyo; Stockholm; Munich,1,163,London; Chicago; Tokyo; Munich; Stockholm
success,gemma_7b_it,company_hq,2358,Where are the headquarters of EMI?,EMI,London,True,1,141,London; Chicago; Stockholm; Berlin; Munich,1,163,London; Chicago; Stockholm; Berlin; Munich
success,gemma_7b_it,company_hq,2366,Where are the headquarters of Carnival Films?,Carnival Films,London,True,1,141,London; Chicago; Berlin; Tokyo; Stockholm,1,163,London; Chicago; Berlin; Tokyo; Munich
failure,gemma_7b_it,company_hq,2199,Where are the headquarters of Jacobs Engineering Group?,Jacobs Engineering Group,Pasadena,True,134,141,London; Chicago; Berlin; Stockholm; Tokyo,146,163,London; Chicago; Berlin; Tokyo; Stockholm
failure,gemma_7b_it,company_hq,1839,Where are the headquarters of Heart Attack Grill?,Heart Attack Grill,Chandler,True,133,141,London; Chicago; Berlin; Stockholm; Athens,142,163,London; Chicago; Berlin; Stockholm; Tokyo
failure,gemma_7b_it,company_hq,2485,Where are the headquarters of Source Cable?,Source Cable,Hamilton,True,107,141,London; Chicago; Stockholm; Tokyo; Berlin,126,163,London; Chicago; Stockholm; Tokyo; Berlin
failure,gemma_7b_it,company_hq,1846,Where are the headquarters of Amirkabir University of Technology?,Amirkabir University of Technology,Tehran,True,103,141,London; Chicago; Berlin; Stockholm; Athens,112,163,London; Chicago; Stockholm; Berlin; Tokyo
failure,gemma_7b_it,company_hq,2475,Where are the headquarters of Keshavarz F.C.?,Keshavarz F.C.,Tehran,True,103,141,London; Chicago; Stockholm; Berlin; Tokyo,112,163,London; Chicago; Stockholm; Tokyo; Berlin
failure,gemma_7b_it,company_hq,2012,Where are the headquarters of Far East Organization?,Far East Organization,Singapore,True,98,141,London; Chicago; Tokyo; Berlin; Stockholm,93,163,London; Chicago; Tokyo; Stockholm; Berlin
failure,gemma_7b_it,company_hq,2459,Where are the headquarters of Slip-n-Slide Records?,Slip-n-Slide Records,Miami,True,94,141,London; Chicago; Stockholm; Berlin; Munich,95,163,London; Chicago; Stockholm; Berlin; Munich
failure,gemma_7b_it,company_hq,1860,Where are the headquarters of Amalgamated Wireless?,Amalgamated Wireless,Sydney,True,89,141,London; Chicago; Berlin; Tokyo; Stockholm,78,163,London; Chicago; Tokyo; Berlin; Stockholm
failure,gemma_7b_it,company_hq,2053,Where are the headquarters of Alinta Energy?,Alinta Energy,Sydney,True,88,141,London; Chicago; Berlin; Stockholm; Athens,67,163,London; Chicago; Berlin; Stockholm; Tokyo
failure,gemma_7b_it,company_hq,2035,Where are the headquarters of LWRC International?,LWRC International,Cambridge,True,84,141,London; Chicago; Berlin; Tokyo; Stockholm,103,163,London; Chicago; Tokyo; Berlin; Stockholm
failure,gemma_7b_it,company_hq,2186,Where are the headquarters of Intransitive Recordings?,Intransitive Recordings,Cambridge,True,84,141,London; Chicago; Berlin; Athens; Stockholm,103,163,London; Chicago; Berlin; Stockholm; Tokyo
failure,gemma_7b_it,company_hq,1973,Where are the headquarters of ARM Holdings?,ARM Holdings,Cambridge,True,82,141,London; Chicago; Stockholm; Berlin; Munich,100,163,London; Chicago; Stockholm; Berlin; Munich
failure,gemma_7b_it,company_hq,2227,Where are the headquarters of Ewing family?,Ewing family,Dallas,True,82,141,London; Chicago; Stockholm; Munich; Berlin,79,163,London; Chicago; Stockholm; Munich; Berlin
failure,gemma_7b_it,company_hq,2310,Where are the headquarters of Renault Trucks?,Renault Trucks,Lyon,True,82,141,London; Stockholm; Chicago; Munich; Berlin,88,163,London; Stockholm; Chicago; Munich; Tokyo
failure,gemma_7b_it,company_hq,2291,Where are the headquarters of Viper Comics?,Viper Comics,Dallas,True,81,141,London; Chicago; Tokyo; Athens; Berlin,84,163,London; Chicago; Tokyo; Munich; Stockholm
failure,gemma_7b_it,company_hq,1975,Where are the headquarters of PGi?,PGi,Atlanta,True,79,141,London; Chicago; Stockholm; Munich; Tokyo,82,163,London; Chicago; Munich; Stockholm; Tokyo
failure,gemma_7b_it,company_hq,2305,Where are the headquarters of Bristol Aerospace?,Bristol Aerospace,Winnipeg,True,76,141,London; Berlin; Stockholm; Chicago; Munich,70,163,London; Berlin; Stockholm; Chicago; Munich
failure,gemma_7b_it,company_hq,2427,Where are the headquarters of WeMade Entertainment?,WeMade Entertainment,Seoul,True,74,141,London; Chicago; Berlin; Tokyo; Stockholm,65,163,London; Chicago; Berlin; Tokyo; Stockholm
failure,gemma_7b_it,company_hq,2137,Where are the headquarters of Rogers TV?,Rogers TV,Ottawa,True,65,141,London; Chicago; Tokyo; Stockholm; Munich,77,163,London; Chicago; Tokyo; Stockholm; Munich
failure,gemma_7b_it,company_hq,2421,Where are the headquarters of Commerzbank?,Commerzbank,Frankfurt,True,63,141,London; Chicago; Berlin; Stockholm; Tokyo,66,163,London; Chicago; Berlin; Stockholm; Tokyo
strict_miss_but_all_good,gemma_7b_it,company_hq,2273,Where are the headquarters of Real Academia de Bellas Artes de San Fernando?,Real Academia de Bellas Artes de San Fernando,Madrid,False,,141,,6,163,London; Berlin; Chicago; Stockholm; Tokyo
strict_miss_but_all_good,gemma_7b_it,company_ceo,1539,Who is the CEO of Goldman Sachs?,Goldman Sachs,David Solomon,False,,220,,1,287,David Solomon; Martin Brudermüller; Mark Avery; Kevin Johnson; Jane Fraser
strict_miss_but_all_good,gemma_7b_it,company_ceo,1607,Who is the CEO of Starbucks?,Starbucks,Kevin Johnson,False,,220,,1,287,Kevin Johnson; Mark Avery; Mark Zuckerberg; Elon Musk; Chuck Robbins
strict_miss_but_all_good,gemma_7b_it,company_ceo,1638,Who is the CEO of JPMorgan Chase?,JPMorgan Chase,Jamie Dimon,False,,220,,1,287,Jamie Dimon; Martin Brudermüller; David Solomon; Jane Fraser; Mark Avery
strict_miss_but_all_good,gemma_7b_it,company_ceo,1808,Who is the CEO of Opera Software?,Opera Software,Jon Stephenson von Tetzchner,False,,220,,1,287,Jon Stephenson von Tetzchner; Martin Brudermüller; Mark Avery; Dion Weisler; Stefan Hartung
strict_miss_but_all_good,gemma_7b_it,company_ceo,1573,Who is the CEO of Ford Motor Company?,Ford Motor Company,Jim Farley,False,,220,,2,287,Martin Brudermüller; Jim Farley; Mark Avery; Tim Cook; Kevin Johnson
strict_miss_but_all_good,gemma_7b_it,company_ceo,1595,Who is the CEO of Procter & Gamble?,Procter & Gamble,Jon Moeller,False,,220,,2,287,Martin Brudermüller; Jon Moeller; Mark Avery; Dion Weisler; Kevin Johnson
strict_miss_but_all_good,gemma_7b_it,company_ceo,1610,Who is the CEO of Bayer?,Bayer,Werner Baumann,False,,220,,2,287,Martin Brudermüller; Werner Baumann; Mark Avery; Dion Weisler; Doug Parker
strict_miss_but_all_good,gemma_7b_it,company_ceo,1624,Who is the CEO of Vinci?,Vinci,Xavier Huillard,False,,220,,2,287,Martin Brudermüller; Xavier Huillard; Elon Musk; David Solomon; Kevin Johnson
strict_miss_but_all_good,gemma_7b_it,company_ceo,1701,Who is the CEO of HP Inc.?,HP Inc.,Dion Weisler,False,,220,,3,287,H. Lawrence Culp Jr.; Martin Brudermüller; Dion Weisler; Mark Avery; Tim Cook
strict_miss_but_all_good,gemma_7b_it,company_ceo,1556,Who is the CEO of Hewlett-Packard?,Hewlett-Packard,Meg Whitman,False,,220,,4,287,Martin Brudermüller; Dion Weisler; H. Lawrence Culp Jr.; Meg Whitman; Kevin Johnson
strict_miss_but_all_good,gemma_7b_it,company_ceo,1575,Who is the CEO of Electronic Arts?,Electronic Arts,Andrew Wilson,False,,220,,4,287,Martin Brudermüller; Mark Avery; Dion Weisler; Andrew Wilson; Kevin Johnson
strict_miss_but_all_good,gemma_7b_it,company_ceo,1777,Who is the CEO of ABB Group?,ABB Group,Ulrich Spiesshofer,False,,220,,5,287,Martin Brudermüller; Mark Avery; H. Lawrence Culp Jr.; Dion Weisler; Ulrich Spiesshofer
strict_miss_but_all_good,gemma_7b_it,person_occupation,6759,What is Shawn Fanning by profession?,Shawn Fanning,programmer,False,,29,,8,31,actor; politician; journalist; photographer; lawyer
strict_miss_but_all_good,gemma_7b_it,person_father,4585,Who is Franz Kafka's father?,Franz Kafka,Hermann Kafka,False,,727,,1,968,"Hermann Kafka; Mathias Haydn; Henry James, Sr.; John Thoreau Jr.; Bernhard Mahler"
strict_miss_but_all_good,gemma_7b_it,person_father,4614,Who is Joshua Reynolds's father?,Joshua Reynolds,Samuel Reynolds,False,,727,,1,968,"Samuel Reynolds; Mathias Haydn; Theodore Roosevelt Sr.; John Thoreau Jr.; Henry James, Sr."
strict_miss_but_all_good,gemma_7b_it,person_father,4670,Who is William Hogarth's father?,William Hogarth,Richard Hogarth,False,,727,,1,968,"Richard Hogarth; Mathias Haydn; John Thoreau Jr.; Henry James, Sr.; Theodore Roosevelt Sr."
strict_miss_but_all_good,gemma_7b_it,person_father,4710,Who is Louis XIV of France's father?,Louis XIV of France,Louis XIII of France,False,,727,,1,968,"Louis XIII of France; Theodore Roosevelt Sr.; Henry James, Sr.; John Thoreau Jr.; Isaac Newton Sr."
strict_miss_but_all_good,gemma_7b_it,person_father,4770,Who is Hector Berlioz's father?,Hector Berlioz,Louis Berlioz,False,,727,,1,968,"Louis Berlioz; Mathias Haydn; John Thoreau Jr.; Henry James, Sr.; Claude Villeneuve"
strict_miss_but_all_good,gemma_7b_it,person_father,4773,Who is Robert Schumann's father?,Robert Schumann,August Schumann,False,,727,,1,968,"August Schumann; John Thoreau Jr.; Mathias Haydn; Theodore Roosevelt Sr.; Henry James, Sr."
